"Date","Price","Open","High","Low","Vol.","Change %"
"08/04/2022","1,437.00","1,437.00","1,437.00","1,437.00","","-1.17%"
"08/03/2022","1,454.00","1,454.00","1,454.00","1,454.00","","-1.36%"
"08/02/2022","1,474.00","1,474.00","1,474.00","1,474.00","","0.14%"
"08/01/2022","1,472.00","1,472.00","1,472.00","1,472.00","","0.41%"
"07/29/2022","1,466.00","1,466.00","1,466.00","1,466.00","","1.66%"
"07/28/2022","1,442.00","1,442.00","1,442.00","1,442.00","","-0.28%"
"07/27/2022","1,446.00","1,446.00","1,446.00","1,446.00","","-1.50%"
"07/26/2022","1,468.00","1,468.00","1,468.00","1,468.00","","-1.01%"
"07/25/2022","1,483.00","1,483.00","1,483.00","1,483.00","","-0.13%"
"07/22/2022","1,485.00","1,485.00","1,485.00","1,485.00","","0.27%"
"07/21/2022","1,481.00","1,481.00","1,481.00","1,481.00","","0.95%"
"07/20/2022","1,467.00","1,467.00","1,467.00","1,467.00","","1.31%"
"07/19/2022","1,448.00","1,448.00","1,448.00","1,448.00","","2.48%"
"07/18/2022","1,413.00","1,413.00","1,413.00","1,413.00","","3.21%"
"07/15/2022","1,369.00","1,369.00","1,369.00","1,369.00","","0.00%"
"07/14/2022","1,369.00","1,369.00","1,369.00","1,369.00","","-0.65%"
"07/13/2022","1,378.00","1,378.00","1,378.00","1,378.00","","0.36%"
"07/12/2022","1,373.00","1,373.00","1,373.00","1,373.00","","0.73%"
"07/11/2022","1,363.00","1,363.00","1,363.00","1,363.00","","2.25%"
"07/08/2022","1,333.00","1,333.00","1,333.00","1,333.00","","3.65%"
"07/07/2022","1,286.00","1,286.00","1,286.00","1,286.00","","2.06%"
"07/06/2022","1,260.00","1,260.00","1,260.00","1,260.00","","2.77%"
"07/05/2022","1,226.00","1,226.00","1,226.00","1,226.00","","0.33%"
"07/04/2022","1,222.00","1,222.00","1,222.00","1,222.00","","-0.16%"
"07/01/2022","1,224.00","1,224.00","1,224.00","1,224.00","","-0.81%"
"06/30/2022","1,234.00","1,234.00","1,234.00","1,234.00","","0.73%"
"06/29/2022","1,225.00","1,225.00","1,225.00","1,225.00","","1.07%"
"06/28/2022","1,212.00","1,212.00","1,212.00","1,212.00","","-0.25%"
"06/27/2022","1,215.00","1,215.00","1,215.00","1,215.00","","-0.33%"
"06/24/2022","1,219.00","1,219.00","1,219.00","1,219.00","","-0.25%"
"06/23/2022","1,222.00","1,222.00","1,222.00","1,222.00","","0.66%"
"06/22/2022","1,214.00","1,214.00","1,214.00","1,214.00","","0.58%"
"06/21/2022","1,207.00","1,207.00","1,207.00","1,207.00","","0.25%"
"06/20/2022","1,204.00","1,204.00","1,204.00","1,204.00","","-0.08%"
"06/17/2022","1,205.00","1,205.00","1,205.00","1,205.00","","0.50%"
"06/16/2022","1,199.00","1,199.00","1,199.00","1,199.00","","2.65%"
"06/15/2022","1,168.00","1,168.00","1,168.00","1,168.00","","1.83%"
"06/14/2022","1,147.00","1,147.00","1,147.00","1,147.00","","1.33%"
"06/13/2022","1,132.00","1,132.00","1,132.00","1,132.00","","0.53%"
"06/10/2022","1,126.00","1,126.00","1,126.00","1,126.00","","3.02%"
"06/09/2022","1,093.00","1,093.00","1,093.00","1,093.00","","0.28%"
"06/08/2022","1,090.00","1,090.00","1,090.00","1,090.00","","0.09%"
"06/07/2022","1,089.00","1,089.00","1,089.00","1,089.00","","0.09%"
"06/06/2022","1,088.00","1,088.00","1,088.00","1,088.00","","-1.45%"
"06/01/2022","1,104.00","1,104.00","1,104.00","1,104.00","","-1.34%"
"05/31/2022","1,119.00","1,119.00","1,119.00","1,119.00","","-0.18%"
"05/30/2022","1,121.00","1,121.00","1,121.00","1,121.00","","-0.62%"
"05/27/2022","1,128.00","1,128.00","1,128.00","1,128.00","","0.18%"
"05/26/2022","1,126.00","1,126.00","1,126.00","1,126.00","","0.36%"
"05/25/2022","1,122.00","1,122.00","1,122.00","1,122.00","","0.27%"
"05/24/2022","1,119.00","1,119.00","1,119.00","1,119.00","","0.45%"
"05/23/2022","1,114.00","1,114.00","1,114.00","1,114.00","","0.27%"
"05/20/2022","1,111.00","1,111.00","1,111.00","1,111.00","","0.91%"
"05/19/2022","1,101.00","1,101.00","1,101.00","1,101.00","","1.66%"
"05/18/2022","1,083.00","1,083.00","1,083.00","1,083.00","","-2.43%"
"05/17/2022","1,110.00","1,110.00","1,110.00","1,110.00","","-1.33%"
"05/16/2022","1,125.00","1,125.00","1,125.00","1,125.00","","-0.71%"
"05/13/2022","1,133.00","1,133.00","1,133.00","1,133.00","","-0.61%"
